province,zone_sante,zone_sante_origine,site,type,latitude,longitude,latitude_retenue,longitude_retenue,source_retenue,fiabilite,action,reference_utilisee,ecart_origine_reference_m,commentaire,source_terrain,date_releve
Ituri,Gety,Gety,HGR Getty Etat,HGR,1.208943535,30.17427439,1.218399,30.156128,OSM 2019 node/3678715093,moyenne,remplacer,OSM 2019 node/3678715093,2275,Valeur d'origine sur le village Geti et sur le point Hôpital de Geti Maternité. OSM place l'HGR 2.3 km au nord-ouest avec deux emprises hospitalières.,,
Ituri,Gety,Gety,CSR Kagaba,CSR,1.290497003,30.22516874,1.290497003,30.22516874,liste d'origine ; contrôlée sur OSM 2019 localité node/1157931492,faible,garder,OSM 2019 localité node/1157931492,7,Position du village à 7 m : la structure n'a jamais été relevée.,,
Ituri,Gety,Gety,CSR Avekba,CSR,1.21227,30.08778,1.21227,30.08778,liste d'origine ; contrôlée sur OSM 2019 localité node/1157931856,faible,garder,OSM 2019 localité node/1157931856,91,Position du village Aveba à 91 m.,,
Ituri,Gety,Gety,CSR Olongba,CSR,1.330855,30.1255501,1.330855,30.1255501,liste d'origine ; contrôlée sur OSM 2019 localité node/1157938948,faible,garder,OSM 2019 localité node/1157938948,0,Exactement le point du village.,,
Ituri,Gety,Gety,CSR Songolo,CSR,1.41254,30.15704,1.41254,30.15704,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Mongbwalu,MONGBWALU,CS Ngamau,CS,2.02793,29.88419,2.02793,29.88419,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Mongbwalu,MONGBWALU,CSR Lodjo,CSR,2.066892395,30.01678681,2.066892395,30.01678681,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Mongbwalu,MONGBWALU,CS Yedy,CS,2.1679,29.5944,2.0666081,29.9824042,OSM 2019 localité node/1157932566,faible (village),remplacer,OSM 2019 localité node/1157932566,44562,Valeur d'origine à 44.6 km du village Yedi. Position du village en attendant le relevé.,,
Ituri,Mongbwalu,MONGBWALU,CS Andisa,CS,1.97663,29.97002,1.97663,29.97002,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Mongbwalu,MONGBWALU,CTE HGR Mongbwalu,CTE,,,1.936853,30.045831,OSM 2019 localité node/3384368752,faible (ville),completer,OSM 2019 localité node/3384368752,,Centre-ville de Mongbwalu avec une marge d'environ 2 km. L'HGR n'est pas cartographié.,,
Ituri,Mongbwalu,MONGBWALU,CS Ituri,CS,1.9833,30.0308,1.9833,30.0308,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Nizi,Nizi,HGR Nizi,HGR,1.755316536,30.30320847,1.755316536,30.30320847,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Nizi,Nizi,Lopa CS,CS,1.73849,30.33978,1.73849,30.33978,liste d'origine ; contrôlée sur OSM 2019 localité node/1157934089,faible,garder,OSM 2019 localité node/1157934089,136,Position du village à 136 m.,,
Ituri,Nizi,NIZI,CS CE39,CS,1.73572999,30.30460748,1.73572999,30.30460748,liste d'origine ; contrôlée sur OSM 2019 localité node/1157937327,inconnue,garder,OSM 2019 localité node/1157937327,55,À 55 m du point de localité Iga Barrière.,,
Ituri,Nizi,NIZI,CS HERITAGE,CS,1.72631,30.32046,1.728792,30.323363,OSM 2019 node/5881271255,moyenne,remplacer,OSM 2019 node/5881271255,425,Point Heritage cartographié à 425 m de la valeur d'origine et à 58 m de la ligne CS IGA MISSION.,,
Ituri,Nizi,NIZI,CT LINGO,CT,,,,,à relever ou à demander au BCZ,,relever,,,Structure de riposte : liste de la commission prise en charge ou relevé terrain.,,
Ituri,Nizi,NIZI,CS IGA MISSION,CS,1.729120331,30.32295768,1.729120331,30.32295768,liste d'origine ; contrôlée sur OSM 2019 node/5881271255,faible,garder,OSM 2019 node/5881271255,58,À 58 m du point OSM Heritage : vérifier qu'il ne s'agit pas de Heritage.,,
Ituri,Nyankunde,Nyankunde,CSR de Tumbyabu,CSR,1.52306,30.01637,1.52306,30.01637,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Nyankunde,Nyankunde,CSR Nyankunde,CSR,1.43288,30.03327,1.43288,30.03327,liste d'origine ; contrôlée sur OSM 2019 node/2678619342,moyenne,garder,OSM 2019 node/2678619342,166,À 170 m de l'hôpital de Nyankunde cartographié.,,
Ituri,Nyankunde,Nyankunde,CSR Kombokabo,CSR,1.46978,30.10769,1.46978,30.10769,liste d'origine ; contrôlée sur OSM 2019 localité node/1157931535,faible,garder,OSM 2019 localité node/1157931535,64,Position du village à 64 m.,,
Ituri,Nyankunde,Nyankunde,CSR de Cezabo,CSR,1.366920882,30.03319398,1.366920882,30.03319398,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Nyankunde,Nyankunde,CTE HGR Nyakunde,CTE,,,1.431464,30.032786,OSM 2019 node/2678619342,faible (provisoire),completer,OSM 2019 node/2678619342,,Position de l'hôpital de Nyankunde et non de l'entrée du CTE.,,
Ituri,Nyankunde,Nyankunde,CT Sota,CT,,,,,à relever ou à demander au BCZ,,relever,,,Structure de riposte : liste de la commission prise en charge ou relevé terrain.,,
Ituri,Nyankunde,Nyankunde,ISTM Nyakunde,à préciser,,,1.536065,30.252305,OSM 2019 éducation node/4008476554,faible,completer,OSM 2019 éducation node/4008476554,,Ce point est à Bunia et non à Nyankunde. À confirmer si le site utilisé est le campus de Nyankunde.,,
Ituri,Rwampara,Rwampara,CSR Dele,CSR,1.518584473,30.27065342,1.518584473,30.27065342,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Rwampara,Rwampara,HGR Rwampara,HGR,1.543124623,30.17864272,1.543124623,30.17864272,liste d'origine ; contrôlée sur OSM 2019 node/4764355621,moyenne,garder,OSM 2019 node/4764355621,83,À 83 m du bureau central de zone cartographié.,,
Ituri,Rwampara,Rwampara,CSR Police des frontières,CSR,,,,,à relever ou à demander au BCZ,,relever,,,Absent des sources publiques accessibles.,,
Ituri,Rwampara,Rwampara,CSR Hoho,CSR,,,,,à relever ou à demander au BCZ,,relever,,,Absent des sources publiques accessibles. Nom d'aire de santé : tester le centroïde GRID3.,,
Ituri,Rwampara,Rwampara,Centre Médical Uhuru,à préciser,,,,,à relever ou à demander au BCZ,,relever,,,Absent des sources publiques accessibles.,,
Ituri,Tchomia,TCHOMIA,PS du Lac,PS,1.436185724,30.48424235,1.436185724,30.48424235,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Tchomia,TCHOMIA,NYAMAZI(CS  NYAMAZI ET PS SALAMA),CS,,,1.329314,30.380920,OSM 2019 node/6374000334,faible,completer,OSM 2019 node/6374000334,,CS NYAMAVI et PS SALAMA cartographiés à 160 m l'un de l'autre. Rattachement à Tchomia à vérifier.,,
Ituri,Tchomia,TCHOMIA,CSR de Kasenyi,CSR,1.39118,30.43762,1.388799,30.431817,OSM 2019 node/6374000288,moyenne,remplacer,OSM 2019 node/6374000288,697,Valeur d'origine au centre de la ville de Kasenyi à 700 m du point CSR KASENYI.,,
Ituri,Tchomia,TCHOMIA,CSR de Kasenyi cité,CSR,1.39581,30.38578,1.39581,30.38578,liste d'origine ; contrôlée sur OSM 2019 localité node/1157932555,faible,garder,OSM 2019 localité node/1157932555,5865,À 5.9 km dans les terres alors que la cité est au bord du lac.,,
Ituri,Tchomia,TCHOMIA,HGR Tchomia,HGR,1.440187145,30.48443899,1.440187145,30.48443899,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Tchomia,TCHOMIA,CSR de Sabe,CSR,1.48608,30.45204,1.48608,30.45204,liste d'origine ; contrôlée sur OSM 2019 localité node/1157938816,faible,garder,OSM 2019 localité node/1157938816,6456,À 6.5 km du village Sabe cartographié : vérifier avant de corriger.,,
Ituri,Tchomia,TCHOMIA,CSR de Nana,CSR,1.42773,30.47389,1.431893,30.472483,OSM 2019 node/6374000342,moyenne,remplacer,OSM 2019 node/6374000342,489,Point CS NANA à 490 m de la valeur d'origine. Type à confirmer.,,
Ituri,Bambu,Bambu,CTE HGR Bambu,CTE,,,1.801570,30.236620,OSM 2019 localité node/1157932424,faible (village),completer,OSM 2019 localité node/1157932424,,Position du village Bambu et non de l'hôpital.,,
Ituri,Aru,Aru,,,,,2.859444,30.824167,OSM 2019 localité node/1157861493,faible (chef-lieu),completer,OSM 2019 localité node/1157861493,,Chef-lieu de zone et non une structure. Le nom du site manque.,,
Ituri,Logo,Logo,,,,,2.180920,30.924840,OSM 2019 localité node/1157862054,faible (chef-lieu),completer,OSM 2019 localité node/1157862054,,"Chef-lieu présumé de la zone, à confirmer. Le nom du site manque.",,
Ituri,Rwampara,Rwampara,CME,à préciser,,,,,à relever ou à demander au BCZ,,relever,,,Probablement le Centre médical évangélique de Bunia. Absent des sources publiques accessibles.,,
Ituri,Komanda,Komanda,,,,,1.366699,29.763132,OSM 2019 localité node/1157931875,faible (chef-lieu),completer,OSM 2019 localité node/1157931875,,Ville de Komanda sur la RN4. Le nom du site manque.,,
Ituri,Niania,Niania,,,,,1.407138,27.607355,"Wikipédia, localité de Nia-Nia",faible (chef-lieu),completer,"Wikipédia, localité de Nia-Nia",,"Une autre source place Nia-Nia à 1.4260, 27.6164 soit 2.3 km plus loin. Le nom du site manque.",,
